attack_type,param,acc,precision,recall,f1,auc
Clean,0.0,0.8070086436662599,0.9121272980071065,0.09662384420260207,0.17473734055461834,0.8536665058560386
PGD_AnomalE_DGI,0.01,0.8068833731407535,0.9069796018677808,0.09663366336633664,0.17465843580012838,0.7417290474125539
PGD_AnomalE_DGI,0.05,0.21239098522845953,0.19545682025707664,0.8743670730709434,0.31949372023893174,0.7367203448440051
PGD_AnomalE_DGI,0.1,0.21422228804884583,0.21203984270570614,0.9999869077816873,0.34988842704755124,0.7329912058380461
PGD_AnomalE_DGI,0.2,0.21145457074774046,0.21145457074774046,1.0,0.3490920350685958,0.7997919578867911
EdgeRemove_AnomalE,0.05,0.8070521553514057,0.9117828701446449,0.09666658625763742,0.1748009023268567,0.8538727962199283
EdgeRemove_AnomalE,0.1,0.8082577019438844,0.9151402961808262,0.10250450155508266,0.18435902216901046,0.8581165094366459
EdgeRemove_AnomalE,0.2,0.8070402344841547,0.910859432181517,0.09675782512798059,0.1749330452924552,0.8513382680892161
EdgeRemove_AnomalE,0.3,0.8094208888168224,0.9170764328704615,0.1089601278749667,0.19477817695713925,0.8591117028588364
NodeInject_AnomalE,0.05,0.789099134913113,0.5729588193287313,0.09945964845364101,0.1694964831551664,0.8554886913281119
NodeInject_AnomalE,0.1,0.7686554667224408,0.4077464964652394,0.10085110984105408,0.16170617475362659,0.855164313525398
NodeInject_AnomalE,0.2,0.758277984739586,0.40435044888399985,0.09999414982303215,0.16033751316212216,0.8613368579688012
