,,Accuracy,Precision,Recall,F1,AUC
CAGN_GAT,clean,0.8569,0.9508152173913044,0.7367866919351442,0.8302289714082335,0.9585140337054993
CAGN_GAT,edge_remove_5pct,0.8566,0.9507750883872722,0.7361549799957886,0.8298124851649655,0.9585185651248573
CAGN_GAT,pgd_eps0.7_CAGN_GAT,0.6906,0.7388167388167388,0.5390608549168246,0.6233260287314342,0.6580371198635409
CAGN_GAT,node_inject_10pct,0.7941818181818182,0.7914614121510674,0.7104653611286587,0.7487794052374611,0.8944946572288168
CAGN_GAT,edge_remove_10pct,0.8569,0.9505703422053232,0.7369972625815961,0.8302692444549876,0.9586498559830716
CAGN_GAT,pgd_eps0.3_CAGN_GAT,0.8224,0.9005658852061439,0.7037271004421983,0.7900709219858156,0.8806653920144922
CAGN_GAT,edge_remove_1pct,0.8569,0.9508152173913044,0.7367866919351442,0.8302289714082335,0.9585707165485309
CAGN_GAT,node_inject_5pct,0.8214285714285714,0.8560455896927651,0.7275215834912613,0.7865680136596471,0.921574407175527
CAGN_GAT,node_inject_1pct,0.8496039603960396,0.9327438370846731,0.7329964202990104,0.8208937625280037,0.9507323124493765
CAGN_GAT,pgd_eps0.5_CAGN_GAT,0.7484,0.8380260369361187,0.5828595493788166,0.6875310481867858,0.7712401159417779
CAGN_GAT,edge_remove_20pct,0.8571,0.9510869565217391,0.7369972625815961,0.8304662474789417,0.9591035392831351
CAGN_GAT,pgd_eps0.2_CAGN_GAT,0.8365,0.9264985082723081,0.7146443514644352,0.8068973662454233,0.9213315578960868
CAGN_GAT,pgd_eps0.1_CAGN_GAT,0.8444,0.935440302539168,0.7244769874476987,0.8165526998349446,0.9436411893425672
