attack_type,param,acc,precision,recall,f1,auc
Clean,0.0,0.8956693414203502,0.9448392759852291,0.8303169587283348,0.8838839745840459,0.8927025209623248
PGD_EGraphSage_EdgeAttack,0.3,0.910751085081591,0.9615194214027843,0.8472873908093672,0.9007963440568301,0.9032710198062972
PGD_EGraphSage_EdgeAttack,0.5,0.8814322568170601,0.8980414681668187,0.8483939268196665,0.8725120091039402,0.8970707802983681
PGD_EGraphSage_EdgeAttack,0.7,0.7254858061660111,0.6531461576712696,0.9083809463010842,0.7599042287118051,0.903006330823372
EdgeRemove_IPPort,0.05,0.8956899460640697,0.9444501031295358,0.8307556192673393,0.8839620336882497,0.892694156185172
EdgeRemove_IPPort,0.1,0.896136863470095,0.9448180326545983,0.8311858871969616,0.8843667583541571,0.8932633597599267
EdgeRemove_IPPort,0.2,0.89680328702997,0.9447711776000484,0.8325117902533905,0.8850961368223506,0.8932835934001513
EdgeRemove_IPPort,0.3,0.8964607366378088,0.9443224699828473,0.8334948222612487,0.8854541945445187,0.8942535201261823
NodeInject_IPPort,0.05,0.8118828627116187,0.8473194126968545,0.8289294974688233,0.8380235783633843,0.8595847315476367
NodeInject_IPPort,0.1,0.761815116418547,0.8144736120186145,0.8264568634794668,0.8204214825998376,0.8289940663679451
NodeInject_IPPort,0.2,0.7265920107797751,0.8035935346926306,0.8384239168329587,0.8206393157060031,0.7847671722073746
